Name,Link,Gen,Bloodline,Complete Rating,Speed Rating,Sprint Rating,Endurance Rating,Matchmaking Rating,Latest Odds,Races Ran,Win Percentage,AVG Time,Best Time,Q1 Pos x/8,Q2 Pos x/8,Q3 Pos x/8,Q4 Pos x/8
Sociable Chimes,https://app.zedchampions.com/horse/dca85fae-aa8a-4a0f-bf1e-8bd6cec1c33f,1,NAKAMOTO,3.5,3,-,-,931,2.75,5,0%,41.19s,40.79s,3.4,4.6,5.2,5.6
Spenny Turnip,https://app.zedchampions.com/horse/e86aca90-f17e-4db0-a421-ca6aa2f7f3a2,32,BUTERIN,4,4,-,-,1051,5,6,17%,40.49s,40.24s,7.5,7.5,6.7,3.3
Stringy,https://app.zedchampions.com/horse/b1f64fd1-68e4-46b9-97b6-785d17ddb50f,30,FINNEY,3.5,4,4,-,1133,50,14,14%,40.15s,39.40s,1.5,2.9,4.1,3.4
Stringy Regift,https://app.zedchampions.com/horse/f3adb269-708c-4dcb-8410-6b8aad9d25c4,31,FINNEY,3.5,3.5,-,-,1039,15.5,8,13%,40.40s,39.82s,3.4,1.8,2.9,4.0
Synthetic,https://app.zedchampions.com/horse/68cc8233-b741-44fb-a902-537310e8af89,34,FINNEY,4,4.5,4.5,-,1001,12,12,0%,40.30s,39.68s,6.9,6.0,5.4,3.9
Tactful Lunar,https://app.zedchampions.com/horse/1b80590b-8960-48e9-b334-256f92976537,31,FINNEY,4,5,-,-,1114,6.8,8,25%,39.91s,39.38s,2.0,2.5,2.0,3.3
Taiwu,https://app.zedchampions.com/horse/4f76e43e-2fa0-4282-9b6a-e155475eb534,33,NAKAMOTO,4.5,5,4,3,1190,9.2,15,27%,39.81s,38.84s,4.4,5.9,3.9,3.2
The Trusting,https://app.zedchampions.com/horse/78525e10-8958-4b58-921a-5863930a450f,34,SZABO,4,3.5,-,-,1000,10.5,5,20%,40.53s,40.22s,4.2,3.2,2.4,4.8
This Rolldown,https://app.zedchampions.com/horse/f2fec274-dfe6-4fd0-a6f8-60da8f8074b8,30,SZABO,3.5,4,-,-,1006,14,5,20%,40.41s,39.71s,2.4,3.4,5.0,4.8
Times Running Out,https://app.zedchampions.com/horse/2736bab0-680f-4c21-82fe-edb544e8afca,0,FINNEY,3,-,-,-,-,-,0,-,-,-,-,-,-,-
Trust in Diplomacy,https://app.zedchampions.com/horse/57e55743-b6bb-493a-b680-a462ec33070e,34,FINNEY,4,4.5,-,-,1018,18.5,5,20%,40.37s,40.01s,5.4,4.8,5.8,4.4
Twoy,https://app.zedchampions.com/horse/eb69b7a8-0109-41cd-a8bf-ea6ea9bc7825,35,SZABO,4,4,-,-,1032,4.1,6,17%,40.16s,39.40s,3.0,3.2,4.0,3.5
Undercooked,https://app.zedchampions.com/horse/65a33371-1eaf-4221-9105-31b494047a6a,35,SZABO,4,4.5,-,-,980,3.1,7,14%,40.35s,39.42s,4.4,4.0,4.6,5.0
Understanding Medusa,https://app.zedchampions.com/horse/a8871604-8d8e-4b05-8ecd-84d05a4f5ca2,34,NAKAMOTO,4,3.5,-,-,998,6.4,5,20%,40.54s,39.97s,1.2,3.0,3.4,4.6
